Աղջիկ,Սյունիք,Սիսիան,15-18,Արկածային,,,,,,,,,,,,,,,,Ջեյն Էյր,"Բռնիր ձեռքս, ես վախենում եմ",Մոնթեսումայի դուստրը,Արտագաղթած կարոտ,Չգտնված երիցուկներ,731 օր քեզ համար,Ծաղիկներ Էլջերնոնի համար,Ինձ պիոններ չնվիրես,Մտածել ինչպես Շերլոկը,,Աստղերն են մեղավոր,,,,,,,,,,Հենրի Ռայդեր Հագգարդ,Շառլոտա Բրոնտե,Դավիթ Սամվելյան,,,,,,,
Աղջիկ,Երևան,Քաղաք,15-18,,,,,,,,,,,,,,,Երկխոսություն,,《կախվածություն》,《731 օր քեզ համար》,《բռնիր ձեռքս ես վախենում եմ》,,,,,,,,Սյունե Սևադա 《կախվածություն》,,,,,,,,,,Սյունե Սևադա,Վարդգես Պետրոսյան,Պարույր Սևակ,,,,,,,
Աղջիկ,Տավուշ,գ. Կողբ,12-14,Արկածային,,,,,,,,Ֆանտաստիկա,,,,,,,,Հարրի Փոթթեր,Գանձերի կղզին,,,,,,,,,Սև նետը,Հարրի Փոթերը 2,,,,,,,,,Ջ.Ք.Ռուոլինգ,,,,,,,,,
Աղջիկ,Արարատ,,15-18,,,,,Դետեկտիվ.,Դրամա,,,Ֆանտաստիկա,Սարսափ,,Ռոմանս,,,,,Կորած օրագիր,,,,,,,,,,,,,,,,,,,,Մուշեղ Բաղդասարյան,,,,,,,,,
Աղջիկ,Երևան,,19-22,,,Դասական,,,Դրամա,,,,,,Ռոմանս,,,,,"""Մեղավոր են աստղերը""","""Թեյահոլիզմ""","""Անատոլիական պատմություն""","""Ինձ պիոններ չնվիրես""","""Սիրելի ընկեր""","""Сумерки""","""Զգուշացեք դռները չեն փակվում""","""Աղջիկ ջան ուշքի արի""","""Թքած ունենալու նուրբ արվեստը""","""Խաղացողը""","Սյունե Սևադա ""Կախվածություն""","Эрленд Лу ""Наивно. Супер""","Ֆաննի Ֆլեգգ "" Դրախտի դռների մոտ""","Джоди Пиколт ""Ангел для сестры""","Ռեմարկ ""Կյանքի կայծը""","Ֆրանց Կաֆկա ""Կերպարանափոխություն""","Дженни Даунхэм ""Пока я жива""","Ջոջո Մոյես"" 1+1 ""","Ստեֆան Ցվեյգ ""Սրտի անհամբերություն""","Ռեմարկ ""Երեք ընկեր""",Շեքսպիր,Ջոն Գրին,Մարկ Արեն,Ջոն Բոյն,Ստեֆան Ցվեյգ,Լիլի Մկրտչյան,Ռեմարկ,Ռեյչլ Հոլիս,Մարկ Մենսոն,Стефан Майер
Աղջիկ,Արմավիր,Էջմիածին ,19-22,,,Դասական,,,Դրամա,,,Ֆանտաստիկա,,,Ռոմանս,Կենսագրություն,Թրիլլեր,,,Էրիխ Ֆրոմմ-սիրելու արվեստը,Ալլան Պիզ-Մարմնի լեզուն,Հրաչյա Ամիրյան-Ինքնակերտման արվեստը,Մարկ Արեն-Վայրի վարդեր,"Ռոբին Շարմա- Վանականը, ով վաճառեց իր ֆերարին",Ջոջո Մոյես-Ես մինչ քեզ,Алекс Михаэлидес-Безмолвный пациент ,Фредерик Бегбедер-Любовь живет три года,Ալեքսանդր Դյումա- Կոմս Մոնտե-Քրիստո,,Վիկտոր Ֆրանկլ-կյանքին ասել ԱՅՈ,,,,,,,,,,Շիրվանզադե-Քաոս,,,,,,,,,
Աղջիկ,Շիրակ,Գյումրի,23+,,,Դասական,,,Դրամա,,,,,,,Կենսագրություն,,,,Էրիխ Մարիա Ռեմարկ - «Հաղթական կամար»,Էրիխ Մարիա Ռեմար - «Ապրելու ժամանակը և մեռնելու ժամանակը»,"Էրիխ Մարիա Ռեմար - «Երեք ընկեր»,  Ռեյ Բրեդբերի - 451 աստիճան ըստ Ֆարենհայթի", Ռիչարդ Բախ -  Ջոնաթան Լիվինգսթոն անունով ճայը, Ռիչարդ Բախ - Պատրանքներ,Դանիել Քիզ -  Ծաղիկներ Էլջերնոնի համար ,"Հարպեր Լի - «Սարյակ մի սպանիր․․․», Սպենսեր Ջոնսոն, «Ո՞ւր է իմ պանիրը»",Մարկ Լևի - «Ստվերներ գողացողը»,"Ռոբին Շարմա, «Վանականը, որը վաճառեց իր «ֆերարին»","Օրհան Փամուք - «Կարմրահեր կինը», Անդուան դը Սենտ Էքզյուպերի - «Փոքրիկ Իշխանը»",Էլֆրիդե Էլինեկ - Դասշնակահարուհին,Հերման Հեսսե - Տափաստանի գայլը,Օրհան Փամուք - Իմ անունը Կարմիր է,Օրհան Փամուք - Ձյունը,Ժան Պոլ Սարտր - Սրտխառնոց,100 բիզնես գաղտնիքներ,Դավիթ Սամվելյան - Ռոդենի ձմեռը,Սյունե Սևադա - Կախվածություն,Աբբա Պրևո - Մանոն Լեսկո (վերընթերցում),Գերի Չեփմեն - Սիրո 5 լեզուները,Էրիխ Մարիա Ռեմարկ,Ռիչարդ Բախ,Մարկ Լևի,Օրհան Փամուք,Ռոբին Շարմա,Հերման Հեսսե,Սպենսեր Ջոնսոն,Ռեյ Բրեդբերի,Բերնհարդ Շլինկ,Վարդգես Պետրոսյան
Աղջիկ,Սյունիք,Սիսիան,15-18,,,,,,,,,,,,,,,Երկխոսություն,,Բռնիր ձեռքս ես վախենում եմ ,Ռոդենի ձմեռը,Կախվածություն ,Որբանոց ,"Հայրիկ, դու խենթ ես ","Մայրիկ, ես սիրում եմ քեզ ",Փոքրիկ Իշխանը ,731 օր քեզ համար ,Երդում,"Հրաշքը, Աղջիկ ջան, ուշքի արի ",Աննա Ֆրանկ- Կորած օրագիր,Ասկանիո ,Ալքիմիկոսը ,Մեծապատիվ մուրացկաններ ,Խավարից այն կողմ ,,,,,,Վիլյամ Սարոյան,Վահան Տերյան,Արմեն Նիազյան,Պարույր Սևակ, Համո Սահյան,Էդգար Կոստանդյան ,Սյունե Սևադա,Սյու Դալյան,,
Աղջիկ,Կոտայք,,15-18,,,,,,Դրամա,,,,,,,,,,,<>,<>,<>,<>,<>,<>,<>,"<>, <>",<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<>,<<731 օր քեզ համար>>,Վարդգես Պետրոսյան ,Էդգար Հարությունյան ,Դավիթ Սանվելյան ,Շիրվանզադե ,Մարկ Արեն,Ջոն Գրին,Մարկ Մենսոն,Ուիլյամ Սարոյան,Պաուլու Կոելյու,Էմիլի Բրոնտե
Աղջիկ,Լոռի,Ամրակից,15-18,Արկածային,,,,Դետեկտիվ.,,,,Ֆանտաստիկա,Սարսափ,,,,Թրիլլեր,,,"Քաոս, Ցտեսություն ծիտ","Վարդանանք, Խենթը","Հետաքննիչի վերջին գործը, Բռնիր ձեռքս ես վախենում եմ","Իմ ինքնասպանությունից 50 օր առաջ, Քարանձավի բնակիչները","Խորհրդավոր կղզի, Թերեզ Ռաքեն","Նամուս,",Չար ոգի,Ծաղկած փշալարեր,Աննա Ֆրանկի օրագիրը,Վարպետն ու Մարգարիտան,Մարկ Արեն Քառյակը,Հարրի Փոթերը և մահվան պարգևները,Գիշերն անույշ է,Պիեդրա գետի ափին նստեցի և լաց եղա,Ջինսի սերունդը,Прислуга,Дети капитана Гранта,Арвендейл,Цвет волшебства,Балаган или конец одиночеству,Շիրվանզադե ,Րաֆֆի,Արամ Պաչյան,Սոֆյա Կրամեր,Ժյուլ Վեռն,Սթիվեն Կինգ,Ջոան Ռոուլինգ,Ջոն Գրին,,
Աղջիկ,Լոռի,Գյուղ Լեռնանցք,15-18,Արկածային,,Դասական,Կոմիքս,Դետեկտիվ.,Դրամա,,,Ֆանտաստիկա,Սարսափ,,Ռոմանս,,Թրիլլեր,Երկխոսություն,,"""Օլիվեր Թվիստի արկածները""","""Հպարտություն և նախապաշարմունք""","""Ֆաուստ""","""Հաղթական կամար""","""Դատաստանախաղ""","""Հարյուր տարվա մենություն""","""Պատերազմ և խաղաղություն""","""Ոճիր և պատիժ""","""Կոմս Մոնտե Քրիստո""","""Մտածիր և հարստացիր""","""Աննա Ֆրանկի օրագիրը""","""Դա Վինչիի ծածկագիրը""","""Մուսա լեռան 40 օրը""",""" 451 աստիճան ըստ ֆարենհայթի""","""Սամվել""","""Ծերունին և ծովը""","""Թշվառները""","""Ալքիմիկոս""","""Ջեյն Էյր""","""Քաոս""",Չարլզ Դիքենս,Գյոթե,Լև Նիկոլաևիչ Տոլստոյ,Ֆյոդոր Միխայլովիչ Դոստոևսկի,Աննա Ֆրանկ,Ալեքսանդր Դյումա,Րաֆֆի,Էրնեստ Հեմինգուեյ,Վիկտոր Հյուգո,Դեն Բրաունի
Աղջիկ,Սյունիք,Սիսիան,15-18,Արկածային,,,,,,,,Ֆանտաստիկա,,,,,,,,Հարրի Փոթեր,Վարդանանք,Հավատի ճամփաներով,Անլռելի զանգակատուն,,,,,,,Բռնիր ձեռքս ես վախենում եմ ,Աստղերն են մեղավոր,,,,,,,,,Հակոբ Գուրունյան,Դերենիկ Դեմիրճյան,Պարույր Սևակ,Համո Սահյան,Եղիշե Չարենց,,,,,
Աղջիկ,Լոռի,Qaxaq,15-18,Արկածային,,,,,,,,,,,,,,,,Nardosi es ev na ,Vardkes petrosyani dexatan anin,,,,,,,,,Brnir im dzerqy es vaxenum em,Rome and Juliet,Hari poter,Spanvanc axavnin,,,,,,,Edgar harutyunyan ,Edgar po,,,,,,,,
Աղջիկ,Լոռի,,12-14,Արկածային,,,,,,,,,,,Ռոմանս,,,,,Արշակ Ճոպանյան,Պապ Թագավոր,Գուրգեն մահարի - մանկություն և պատանեկություն,Դանկոյի Սիրտը,,,,,,,,,,,,,,,,,Գուրգեն Մահարի,Mark Twain,Հովհաննես Թումանյան,Հովհաննես  Շիրազ,,,,,,
Աղջիկ,Երևան,,12-14,,,,,,Դրամա,,,Ֆանտաստիկա,,Լեգենդ,Ռոմանս,,,,,Harry potter,,,,,,,,,,Joan Roiling բոլոր գրքերը,,,,,,,,,,Joan Roiling,,,,,,,,,
Աղջիկ,Երևան,,12-14,,,,,,Դրամա,,,Ֆանտաստիկա,,Լեգենդ,,,,,,Harry potter,,,,,,,,,,Joan Roiling bolor grqer@,,,,,,,,,,Joan Roiling,,,,,,,,,
Տղա,Սյունիք,,23+,Արկածային,,,,Դետեկտիվ.,,,,Ֆանտաստիկա,,,,,,Երկխոսություն,,Финансист,Титан,Стоик,15-летний капитан,Principles of corporative finances R. Brayley,Вокруг ,Капитанская дочка,Սևանի ափին,Մոնթեսումաի դուստրը,Путешествие к центру Земли,Война и мир,Братья Карамзановы,,,,,,,,,Теодор Драйзер,Жуль Верн,Джек Лондон,,,,,,,
Աղջիկ,Տավուշ,Դիլիջան,15-18,,,,,,Դրամա,Առակ,,,,,Ռոմանս,,,,,Անգլուխ ձիավորը,Սպանված աղավնին ,Լիլիթը,Սերը ժանտախտի օրերին,731 օր քեզ համար,,,,,,Անատոլիական պատմություն,,,,,,,,,,Նար Դոս,Շիրվանզադե,Տերյան,Սահյան,Պարույր Սևակ,,,,,
Աղջիկ,Երևան,,19-22,Արկածային,,Դասական,,,,,,Ֆանտաստիկա,,,,,,,"Մոտիվացնող, պատմական",Հարրի Փոթթեր,Փոքրիկ իշխանը,"Վաճառականը, ով վաճառեց իր ֆերարին","Աղջիկ ջան, ուշքի արի",Ալքիմիկոս,Վարդանանք,Տիգրան Մեծ,,,,Շերլոկ Հոլմս,Արշակ Երկրորդ,Աշխարհի ամենամեծ վաճառականը,Հարրի Փոթթեր,To kill a mockingbird,,,,,,Ագաթա Քրիստի,Ջոան Ռոուլինգ,Սերո Խանզադյան,Նար-Դոս,,,,,,
